Location ID,Location,Value
KS-091,Johnson County,58.1
KS-093,Kearny County,58.3
KS-095,Kingman County,59.4
KS-097,Kiowa County,59.1
KS-099,Labette County,60.8
KS-101,Lane County,58
KS-103,Leavenworth County,58
KS-105,Lincoln County,57.9
KS-107,Linn County,59.1
KS-109,Logan County,57.2
KS-111,Lyon County,58.4
KS-113,McPherson County,59.2
KS-115,Marion County,58.7
KS-117,Marshall County,57
KS-119,Meade County,59.9
KS-121,Miami County,58.5
KS-123,Mitchell County,57
KS-125,Montgomery County,61
KS-127,Morris County,57.7
KS-129,Morton County,59.6
KS-131,Nemaha County,56.3
KS-133,Neosho County,59.9
KS-135,Ness County,58.1
KS-137,Norton County,56.1
KS-139,Osage County,59
KS-141,Osborne County,57.2
KS-143,Ottawa County,58.4
KS-145,Pawnee County,57.8
KS-147,Phillips County,56.6
KS-149,Pottawatomie County,57.3
KS-151,Pratt County,58.8
KS-153,Rawlins County,55.9
KS-155,Reno County,59
KS-157,Republic County,56.4
KS-159,Rice County,58.4
KS-161,Riley County,57.8
KS-163,Rooks County,57.1
KS-165,Rush County,57.6
KS-167,Russell County,57.9
KS-169,Saline County,59.2
KS-171,Scott County,57.8
KS-173,Sedgwick County,60.4
KS-175,Seward County,59.8
KS-177,Shawnee County,58.5
KS-179,Sheridan County,56.6
